EMAIL,ID,LOGIN,NAME,PASSWORD,PLANLIST
first@mail.com,4072570,client1,Vladimir,12357,3804526=Plan1=04-12-2020=04-01-2021=false_5927562=Plan2=05-11-2021=05-12-2021=false_592591=Plan3=15-12-2020=17-12-2020=true_9489645=Plan4=15-12-2021=28-12-2021=false
second@mail.com,805453,client2,Valentina,26546,5759637=Plan1=04-12-2020=04-01-2021=true_3235788=Plan2=05-11-2021=05-12-2021=true_9001087=Plan3=15-12-2020=17-12-2020=false_502044=Plan4=15-12-2021=28-12-2021=true
third@mail.com,88300,client3,Yana,12345,4906879=Plan1=04-12-2020=04-01-2021=true_4830153=Plan2=05-11-2021=05-12-2021=true_2044786=Plan3=15-12-2020=17-12-2020=true_4289567=Plan4=15-12-2021=28-12-2021=true
fourth@mail.com,8606251,client4,Daniil,15474,8319218=Plan1=04-12-2020=04-01-2021=false_4103051=Plan2=05-11-2021=05-12-2021=false_7006353=Plan3=15-12-2020=17-12-2020=true_9049498=Plan4=15-12-2021=28-12-2021=true
fifth@mail.com,6310493,client5,Denis,31415,3415846=Plan1=04-12-2020=04-01-2021=true_2844033=Plan2=05-11-2021=05-12-2021=true_3751912=Plan3=15-12-2020=17-12-2020=true_987492=Plan4=15-12-2021=28-12-2021=false
sixth@mail.com,7850188,client5,Dmitry,51220,9408605=Plan1=04-12-2020=04-01-2021=false_1145860=Plan2=05-11-2021=05-12-2021=false_7300174=Plan3=15-12-2020=17-12-2020=false_60348=Plan4=15-12-2021=28-12-2021=false
seventh@mail.com,9105040,client6,Yevgeny,311220,2006637=Plan1=04-12-2020=04-01-2021=true_1875815=Plan2=05-11-2021=05-12-2021=false_538951=Plan3=15-12-2020=17-12-2020=true_5295270=Plan4=15-12-2021=28-12-2021=false
eighth@mail.com,7591881,client7,Anatoliy,88888004,3957940=Plan1=04-12-2020=04-01-2021=false_1398370=Plan2=05-11-2021=05-12-2021=false_2590537=Plan3=15-12-2020=17-12-2020=false_5703952=Plan4=15-12-2021=28-12-2021=true
ninth@mail.com,8868233,client8,Anton,99852bb,5156094=Plan1=04-12-2020=04-01-2021=false_5679332=Plan2=05-11-2021=05-12-2021=true_3207114=Plan3=15-12-2020=17-12-2020=true_7164402=Plan4=15-12-2021=28-12-2021=true
tenth@mail.com,4391641,client9,Tamara,2658747777,1267131=Plan1=04-12-2020=04-01-2021=false_8272435=Plan2=05-11-2021=05-12-2021=true_8010940=Plan3=15-12-2020=17-12-2020=true_3467769=Plan4=15-12-2021=28-12-2021=true
